date,ticker,prediction_horizon_days,relevance,polarity,urgency,gemini_sentiment_score
2025-06-08,AAPL,3,1.5,1,3,4.5
2025-06-08,NVDA,3,1.5,1,3,4.5
2025-06-08,NVDA,20,1.5,1,3,4.5
2025-06-08,AAPL,3,10.0,1.0,10.0,100.0
2025-06-08,NVDA,3,10.0,1.0,8.0,80.0
2025-06-08,AAPL,20,10.0,1.0,10.0,100.0
2025-06-08,NVDA,20,10.0,1.0,8.0,80.0
2025-06-08,AAPL,3,10.0,1.0,9.0,90.0
2025-06-08,NVDA,3,8.0,1.0,7.0,56.0
2025-06-08,AAPL,20,10.0,1.0,9.0,90.0
2025-06-08,NVDA,20,9.0,1.0,7.0,63.0
2025-06-08,AAPL,3,10.0,1.0,10.0,100.0
2025-06-08,NVDA,3,8.0,1.0,7.0,56.0
2025-06-08,AAPL,20,10.0,1.0,9.0,90.0
2025-06-08,NVDA,20,9.0,1.0,7.0,63.0
New data:
{"relevance": 8, "polarity": 1, "urgency": 7, "brief_reasoning": "As of June 8, 2025, Nvidia is experiencing strong growth momentum, supported by massive, secular data center demand and anticipation of its Blackwell chip family. Despite earlier concerns regarding a minor product delay, hyperscaler capital expenditure remains highly robust into late 2025/early 2026. The 360-day prediction timeline aligns perfectly with the expected volume ramp of Blackwell systems, presenting a highly relevant and structurally positive catalyst that will dictate the company's financial outcomes over the next year."}

{
"relevance": 7,
"polarity": 1,
"urgency": 8,
"brief_reasoning": "As of June 8, 2025, D-Wave Quantum (QBTS) is co-hosting the high-profile 14th annual Adiabatic Quantum Computing (AQC) conference starting June 9, 2025, in Vancouver. This major scheduled event is highly relevant and likely to generate near-term enterprise partnership announcements, product updates, and technical presentations within the 3-day timeline, driving bullish investor sentiment."
}
{
  "relevance": 10,
  "polarity": 1,
  "urgency": 8,
  "brief_reasoning": "NVIDIA remains the dominant leader in generative AI infrastructure, with massive near-to-mid term catalysts directly impacting its financial performance over the next 360 days. As of June 2025, robust demand for the Blackwell architecture is highly visible, with backlogs reportedly filling out through late 2026, mitigating earlier fears of an immediate demand dropoff or 'cliff.' Furthermore, the company has clarified its roadmap toward the next-generation Vera Rubin architecture (sampling in mid-2026), assuring continuous product-cycle momentum. While the market cap reflects high expectations and hyperscalers are exploring custom silicon, the visibility of multi-billion dollar purchase orders, cloud data center partnerships, and strong pricing power support a fundamentally bullish trend line over the 360-day horizon."
}
{
  "relevance": 8,
  "polarity": 1,
  "urgency": 7,
  "brief_reasoning": "As of June 2025, D-Wave Quantum possesses strong company-specific growth drivers, highlighted by a tentative $100M federal funding award under the U.S. CHIPS Act and a newly unveiled gate-model roadmap targeting 100 logical qubits. Coupled with record Q1 bookings growth of approximately 2,000% YoY ($33.4M) and highly favorable analyst re-ratings reaching price targets over $40, the medium-to-long term catalyst path remains robustly bullish. While near-term revenue missing consensus and high beta macro pullbacks inject volatility, the substantial backlog and structural government support provide tangible fundamental support for the upcoming 360-day horizon."
}

{
"relevance": 9,
"polarity": 1,
"urgency": 10,
"brief_reasoning": "As of June 8, 2024, Nvidia has completed its highly anticipated 10-for-1 stock split following the close of market on June 7, with split-adjusted trading strictly scheduled to commence at market open on Monday, June 10. This structural catalyst is directly relevant and immediately urgent for the upcoming 3-day window. While a stock split does not alter fundamental intrinsic value, historical market sentiment and empirical data show it highly boosts short-term retail accessibility, liquidity, and bullish psychological demand. Combined with sustained macro momentum from strong Q1 earnings, the immediate post-split trading window presents a highly liquid, positive catalyst for the stock."
}

{
"relevance": 10,
"polarity": 1,
"urgency": 8,
"brief_reasoning": "As of June 8, 2024, Nvidia completed a high-profile 10-for-1 stock split to increase retail accessibility, backed by a 150% dividend hike and structurally dominant data center demand for AI infrastructure. The upcoming launch of the next-generation Blackwell chip architecture serves as a massive product catalyst directly intersecting the 360-day prediction timeline. Strong market tailwinds, ongoing Wall Street price-target upgrades, and robust fundamental guidance provide immediate relevance and long-lasting bullish momentum."
}

Now backtesting with unpredictable current events to test leakage:
{
  "relevance": 4,
  "polarity": 1,
  "urgency": 3,
  "brief_reasoning": "As of late March 2025, Nvidia is in a post-earnings digestion phase following its late February Q4 financial report. High relevance or macro catalysts are absent immediately over the 3-day window, but underlying momentum remains mildly positive due to the recent mid-March announcements regarding the Cosmos world foundation models and Spectrum-X photonics scaling architecture, supporting institutional confidence."
}

{
"relevance": 6,
"polarity": -1,
"urgency": 7,
"brief_reasoning": "As of April 3, 2025, NVIDIA is facing broad macroeconomic headwinds and macro-driven selloffs across tech markets, including impending tariff concerns under the new administration. The immediate 3-day timeline captures a sharp pullback as the market experiences a period of consolidation and a wider technical correction across the AI sector, pulling the price down toward the low $90s initially before stabilizing later in the month."
}

